model,model_short,profile,task_id,run_id,cyclomatic_complexity,max_nesting_depth,function_count,class_count,total_lines,comment_lines,comment_ratio,docstring_count,type_annotation_count,comprehension_count,try_except_count,unique_imports,avg_function_length,parse_error,has_clarifying_questions,explanation_length,code_length,code_to_explanation_ratio,advanced_pattern_count,assumption_count,architectural_sophistication,defensive_coding,idiomatic_density,verbosity_ratio,strategy_score
haiku,haiku,A,task1,1,23,2,11,4,188,10,0.0532,8,22,0,0,4,11.09,False,False,1821,6263,3.4393,11,0,8.0,6.0,7.0,0.2908,0
haiku,haiku,A,task2,1,5,2,7,2,103,8,0.0777,7,14,0,0,0,9.71,False,False,1499,3163,2.1101,0,0,4.9,5.1,2.8,0.4739,0
haiku,haiku,A,task3,1,,,,,,,,,,,,,,True,False,2574,1488,0.5781,1,0,,,,1.7298,0
haiku,haiku,A,task4,1,63,5,40,3,437,19,0.0435,31,10,4,3,7,8.9,False,False,1102,14947,13.5635,19,0,7.55,6.9,7.4,0.0737,0
haiku,haiku,A,task5,1,12,2,11,3,202,8,0.0396,13,23,1,3,7,12.18,False,False,1387,6141,4.4275,22,0,8.15,8.4,7.6,0.2259,0
haiku,haiku,B,task1,1,20,2,13,4,148,7,0.0473,7,16,0,0,4,7.54,False,False,1773,4763,2.6864,8,0,8.0,5.4,5.6,0.3722,0
haiku,haiku,B,task2,1,16,2,11,3,156,8,0.0513,9,21,0,0,2,9.45,False,False,1201,4872,4.0566,0,0,6.9,6.0,4.0,0.2465,0
haiku,haiku,B,task3,1,1,0,0,0,1,1,1.0,0,0,0,0,0,0.0,False,True,367,26,0.0708,0,0,2.0,0.0,0.0,14.1154,0
haiku,haiku,B,task4,1,18,3,8,2,151,16,0.106,8,14,2,1,5,12.62,False,False,2150,5194,2.4158,14,0,6.25,5.9,7.0,0.4139,0
haiku,haiku,B,task5,1,13,2,8,3,150,2,0.0133,8,19,0,2,7,12.5,False,False,1446,4948,3.4219,12,0,7.55,7.45,6.8,0.2922,0
haiku,haiku,C,task1,1,27,2,8,2,209,13,0.0622,10,19,1,0,4,18.62,False,False,1428,7009,4.9083,6,0,6.2,5.85,6.2,0.2037,0
haiku,haiku,C,task2,1,4,2,7,2,96,4,0.0417,7,12,0,0,0,7.57,False,False,1363,2696,1.978,0,0,4.9,4.8,2.4,0.5056,0
haiku,haiku,C,task3,1,32,6,18,4,183,1,0.0055,0,21,8,1,8,7.94,False,False,1546,6652,4.3027,17,0,8.2,3.8,10.0,0.2324,0
haiku,haiku,C,task4,1,23,2,19,3,339,42,0.1239,14,37,5,1,4,9.32,False,False,1519,11754,7.738,23,0,7.4,6.8,10.0,0.1292,0
haiku,haiku,C,task5,1,13,2,9,2,140,2,0.0143,9,19,0,2,6,10.33,False,False,1310,4890,3.7328,19,0,7.0,7.45,6.8,0.2679,0
haiku,haiku,D,task1,1,18,2,12,4,120,0,0.0,5,18,0,0,5,7.25,False,False,1802,3949,2.1915,10,0,8.25,5.7,6.6,0.4563,0
haiku,haiku,D,task2,1,4,2,7,2,93,5,0.0538,7,14,0,0,0,8.0,False,False,648,2896,4.4691,0,0,4.9,5.1,2.8,0.2238,0
haiku,haiku,D,task3,1,30,8,14,2,197,1,0.0051,4,0,8,1,8,10.64,False,False,2034,6803,3.3446,25,0,6.6,3.2,6.0,0.299,0
haiku,haiku,D,task4,1,,,,,,,,,,,,,,True,False,1961,5286,2.6956,20,0,,,,0.371,0
haiku,haiku,D,task5,1,9,2,8,3,131,1,0.0076,8,19,3,2,6,10.0,False,False,1388,4484,3.2305,21,0,7.3,7.45,8.6,0.3095,0
haiku,haiku,E,task1,1,8,1,4,1,93,13,0.1398,5,0,1,0,2,13.5,False,False,1152,3164,2.7465,3,0,4.1,3.0,1.5,0.3641,0
haiku,haiku,E,task2,1,5,1,7,2,112,11,0.0982,7,0,0,0,0,9.86,False,False,1505,3388,2.2512,0,0,5.1,3.0,0.0,0.4442,0
haiku,haiku,E,task3,1,1,0,0,0,1,1,1.0,0,0,0,0,0,0.0,False,False,275,26,0.0945,0,0,2.0,0.0,0.0,10.5769,0
haiku,haiku,E,task4,1,1,0,1,0,12,1,0.0833,1,0,0,0,0,12.0,False,False,1459,437,0.2995,0,0,2.3,0.6,0.0,3.3387,0
haiku,haiku,E,task5,1,12,3,8,2,140,11,0.0786,7,23,0,2,6,11.88,False,False,1472,4759,3.233,6,0,6.5,7.6,5.8,0.3093,0
sonnet,sonnet,A,task1,1,17,2,15,4,185,9,0.0486,10,30,0,1,8,8.13,False,False,1547,6198,4.0065,19,0,9.0,6.8,7.0,0.2496,0
sonnet,sonnet,A,task2,1,6,2,9,2,95,7,0.0737,5,18,0,0,1,7.11,False,False,1616,3287,2.034,4,0,5.75,5.7,4.8,0.4916,0
sonnet,sonnet,A,task3,1,28,6,18,5,279,35,0.1254,1,24,14,4,8,9.11,False,False,2253,10385,4.6094,27,0,8.8,6.8,10.0,0.2169,0
sonnet,sonnet,A,task4,1,,,,,,,,,,,,,,True,False,1527,8118,5.3163,15,0,,,,0.1881,0
sonnet,sonnet,A,task5,1,,,,,,,,,,,,,,True,False,2695,91,0.0338,0,0,,,,29.6154,0
