model,model_short,profile,task_id,run_id,response_length,estimated_tokens,paragraph_count,question_count,hedge_density,unique_entity_count,named_reference_count,cross_domain_count,analytical_depth,challenge_level,register_level,specificity_score,analytical_sophistication,specificity_index,intellectual_engagement,norm_unique_entity_count,norm_named_reference_count,norm_cross_domain_count,norm_question_count
claude-haiku-4,haiku,A,task1,run1,2123,530,7,0,0.189,7,7,1,,,,,,,,1.75,3.5,1.0,0.0
claude-haiku-4,haiku,A,task2,run1,2895,723,13,0,0.138,11,3,2,,,,,,,,2.75,1.5,2.0,0.0
claude-haiku-4,haiku,A,task3,run1,2169,542,7,0,0.0,34,3,2,,,,,,,,5.0,1.5,2.0,0.0
claude-haiku-4,haiku,A,task4,run1,3868,967,21,0,0.0,25,1,1,,,,,,,,5.0,0.5,1.0,0.0
claude-haiku-4,haiku,A,task5,run1,4224,1056,23,1,0.0,27,5,2,,,,,,,,5.0,2.5,2.0,1.0
claude-haiku-4,haiku,B,task1,run1,2038,509,11,0,0.0,21,7,1,,,,,,,,5.0,3.5,1.0,0.0
claude-haiku-4,haiku,B,task2,run1,1811,452,5,0,0.0,8,0,2,,,,,,,,2.0,0.0,2.0,0.0
claude-haiku-4,haiku,B,task3,run1,1846,461,8,0,0.0,23,4,0,,,,,,,,5.0,2.0,0.0,0.0
claude-haiku-4,haiku,B,task4,run1,2047,511,8,0,0.0,12,1,1,,,,,,,,3.0,0.5,1.0,0.0
claude-haiku-4,haiku,B,task5,run1,2788,697,15,1,0.0,18,3,1,,,,,,,,4.5,1.5,1.0,1.0
claude-haiku-4,haiku,C,task1,run1,1725,431,7,0,0.232,19,4,1,,,,,,,,4.75,2.0,1.0,0.0
claude-haiku-4,haiku,C,task2,run1,1901,475,5,0,0.0,15,4,1,,,,,,,,3.75,2.0,1.0,0.0
claude-haiku-4,haiku,C,task3,run1,1550,387,6,0,0.0,11,1,0,,,,,,,,2.75,0.5,0.0,0.0
claude-haiku-4,haiku,C,task4,run1,1679,419,8,0,0.0,12,1,0,,,,,,,,3.0,0.5,0.0,0.0
claude-haiku-4,haiku,C,task5,run1,1636,409,7,0,0.0,2,1,1,,,,,,,,0.5,0.5,1.0,0.0
claude-haiku-4,haiku,D,task1,run1,2012,503,10,1,0.0,11,3,3,,,,,,,,2.75,1.5,3.0,1.0
claude-haiku-4,haiku,D,task2,run1,3450,862,18,1,0.0,20,0,2,,,,,,,,5.0,0.0,2.0,1.0
claude-haiku-4,haiku,D,task3,run1,2141,535,9,1,0.0,19,5,1,,,,,,,,4.75,2.5,1.0,1.0
claude-haiku-4,haiku,D,task4,run1,2815,703,10,0,0.0,0,1,2,,,,,,,,0.0,0.5,2.0,0.0
claude-haiku-4,haiku,D,task5,run1,3345,836,16,2,0.12,6,2,3,,,,,,,,1.5,1.0,3.0,2.0
claude-haiku-4,haiku,E,task1,run1,1633,408,7,0,0.49,12,4,0,,,,,,,,3.0,2.0,0.0,0.0
claude-haiku-4,haiku,E,task2,run1,2735,683,12,0,0.0,20,5,1,,,,,,,,5.0,2.5,1.0,0.0
claude-haiku-4,haiku,E,task3,run1,1642,410,8,1,0.0,7,3,0,,,,,,,,1.75,1.5,0.0,1.0
claude-haiku-4,haiku,E,task4,run1,1739,434,10,1,0.0,9,1,0,,,,,,,,2.25,0.5,0.0,1.0
claude-haiku-4,haiku,E,task5,run1,2169,542,14,1,0.0,3,1,1,,,,,,,,0.75,0.5,1.0,1.0
claude-sonnet-4,sonnet,A,task1,run1,2317,579,7,0,0.0,5,5,2,,,,,,,,1.25,2.5,2.0,0.0
claude-sonnet-4,sonnet,A,task2,run1,4887,1221,24,0,0.0,11,1,3,,,,,,,,2.75,0.5,3.0,0.0
claude-sonnet-4,sonnet,A,task3,run1,2681,670,7,0,0.299,26,4,1,,,,,,,,5.0,2.0,1.0,0.0
claude-sonnet-4,sonnet,A,task4,run1,4899,1224,28,1,0.082,20,6,5,,,,,,,,5.0,3.0,5.0,1.0
claude-sonnet-4,sonnet,A,task5,run1,4731,1182,16,0,0.0,15,2,3,,,,,,,,3.75,1.0,3.0,0.0
claude-sonnet-4,sonnet,B,task1,run1,1422,355,7,0,0.0,9,3,1,,,,,,,,2.25,1.5,1.0,0.0
claude-sonnet-4,sonnet,B,task2,run1,2746,686,17,0,0.0,32,0,2,,,,,,,,5.0,0.0,2.0,0.0
claude-sonnet-4,sonnet,B,task3,run1,1596,399,6,0,0.0,26,4,0,,,,,,,,5.0,2.0,0.0,0.0
claude-sonnet-4,sonnet,B,task4,run1,1623,405,9,0,0.0,0,1,0,,,,,,,,0.0,0.5,0.0,0.0
claude-sonnet-4,sonnet,B,task5,run1,2304,576,9,0,0.0,24,0,1,,,,,,,,5.0,0.0,1.0,0.0
claude-sonnet-4,sonnet,C,task1,run1,1353,338,6,0,0.0,21,5,1,,,,,,,,5.0,2.5,1.0,0.0
claude-sonnet-4,sonnet,C,task2,run1,2009,502,11,0,0.0,15,5,1,,,,,,,,3.75,2.5,1.0,0.0
claude-sonnet-4,sonnet,C,task3,run1,1394,348,6,0,0.0,22,4,0,,,,,,,,5.0,2.0,0.0,0.0
claude-sonnet-4,sonnet,C,task4,run1,1244,311,9,0,0.0,1,2,0,,,,,,,,0.25,1.0,0.0,0.0
claude-sonnet-4,sonnet,C,task5,run1,1664,416,5,0,0.0,13,3,1,,,,,,,,3.25,1.5,1.0,0.0
claude-sonnet-4,sonnet,D,task1,run1,2373,593,7,0,0.337,7,7,3,,,,,,,,1.75,3.5,3.0,0.0
claude-sonnet-4,sonnet,D,task2,run1,4550,1137,24,0,0.0,20,1,5,,,,,,,,5.0,0.5,5.0,0.0
claude-sonnet-4,sonnet,D,task3,run1,3590,897,15,0,0.111,34,7,3,,,,,,,,5.0,3.5,3.0,0.0
claude-sonnet-4,sonnet,D,task4,run1,3817,954,17,0,0.105,3,5,1,,,,,,,,0.75,2.5,1.0,0.0
claude-sonnet-4,sonnet,D,task5,run1,4154,1038,7,1,0.193,30,5,3,,,,,,,,5.0,2.5,3.0,1.0
claude-sonnet-4,sonnet,E,task1,run1,1652,413,9,0,0.0,5,2,0,,,,,,,,1.25,1.0,0.0,0.0
claude-sonnet-4,sonnet,E,task2,run1,2281,570,15,0,0.0,10,1,0,,,,,,,,2.5,0.5,0.0,0.0
claude-sonnet-4,sonnet,E,task3,run1,1575,393,8,0,0.0,11,2,0,,,,,,,,2.75,1.0,0.0,0.0
claude-sonnet-4,sonnet,E,task4,run1,2139,534,12,0,0.0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0
claude-sonnet-4,sonnet,E,task5,run1,1852,463,12,0,0.0,3,0,1,,,,,,,,0.75,0.0,1.0,0.0
