2026-03-27 21:02:58 | INFO     | pipeline | Experiment 5 -- Hybrid Frontend: Code + Design Profile Bias
2026-03-27 21:02:58 | INFO     | pipeline | Run output directory: runs/dry_run_20260327_210258
2026-03-27 21:02:58 | INFO     | pipeline | DRY RUN mode: n_runs=1
2026-03-27 21:02:58 | INFO     | pipeline | ============================================================
2026-03-27 21:02:58 | INFO     | pipeline | STEP 1/7: Running experiment (50 API calls)
2026-03-27 21:02:58 | INFO     | pipeline | ============================================================
2026-03-27 21:02:58 | INFO     | pipeline | Profile A (high_sophistication_nontechnical): 499 chars
2026-03-27 21:02:58 | INFO     | pipeline | Profile B (control): no system prompt (control)
2026-03-27 21:02:58 | INFO     | pipeline | Profile C (low_sophistication_nontechnical): 321 chars
2026-03-27 21:02:58 | INFO     | pipeline | Profile F (frontend_engineer_design_sensibility): 428 chars
2026-03-27 21:02:58 | INFO     | pipeline | Profile G (beginner_first_website): 366 chars
2026-03-27 21:02:58 | INFO     | pipeline | Model sonnet: 25 calls (randomized, seed=42)
2026-03-27 21:02:58 | INFO     | pipeline | [1/25] sonnet F(frontend_engineer_design_sensibility) task2 run1
2026-03-27 21:17:28 | INFO     | pipeline |   -> sys=428 chars, prompt=228 chars, out=3004 est tokens, 869559.1ms
2026-03-27 21:17:28 | INFO     | pipeline | [2/25] sonnet C(low_sophistication_nontechnical) task3 run1
2026-03-27 21:19:17 | INFO     | pipeline |   -> sys=321 chars, prompt=291 chars, out=382 est tokens, 109385.5ms
2026-03-27 21:19:17 | INFO     | pipeline | [3/25] sonnet B(control) task5 run1
2026-03-27 21:21:18 | INFO     | pipeline |   -> sys=0 chars, prompt=223 chars, out=3054 est tokens, 120470.8ms
2026-03-27 21:21:18 | INFO     | pipeline | [4/25] sonnet F(frontend_engineer_design_sensibility) task5 run1
2026-03-27 21:24:28 | INFO     | pipeline |   -> sys=428 chars, prompt=223 chars, out=3810 est tokens, 190497.7ms
2026-03-27 21:24:28 | INFO     | pipeline | [5/25] sonnet F(frontend_engineer_design_sensibility) task4 run1
2026-03-27 21:26:59 | INFO     | pipeline |   -> sys=428 chars, prompt=200 chars, out=1293 est tokens, 150443.6ms
2026-03-27 21:26:59 | INFO     | pipeline | [6/25] sonnet B(control) task2 run1
2026-03-27 21:30:26 | INFO     | pipeline |   -> sys=0 chars, prompt=228 chars, out=4257 est tokens, 207149.1ms
2026-03-27 21:30:26 | INFO     | pipeline | [7/25] sonnet B(control) task1 run1
2026-03-27 21:32:12 | INFO     | pipeline |   -> sys=0 chars, prompt=251 chars, out=546 est tokens, 106280.8ms
2026-03-27 21:32:12 | INFO     | pipeline | [8/25] sonnet C(low_sophistication_nontechnical) task1 run1
2026-03-27 21:33:12 | INFO     | pipeline |   -> sys=321 chars, prompt=251 chars, out=1461 est tokens, 59653.0ms
2026-03-27 21:33:12 | INFO     | pipeline | [9/25] sonnet F(frontend_engineer_design_sensibility) task1 run1
2026-03-27 21:36:13 | INFO     | pipeline |   -> sys=428 chars, prompt=251 chars, out=2261 est tokens, 181062.4ms
2026-03-27 21:36:13 | INFO     | pipeline | [10/25] sonnet G(beginner_first_website) task2 run1
2026-03-27 21:40:47 | INFO     | pipeline |   -> sys=366 chars, prompt=228 chars, out=3258 est tokens, 274007.2ms
2026-03-27 21:40:47 | INFO     | pipeline | [11/25] sonnet C(low_sophistication_nontechnical) task2 run1
2026-03-27 21:45:11 | INFO     | pipeline |   -> sys=321 chars, prompt=228 chars, out=3029 est tokens, 264170.6ms
2026-03-27 21:45:11 | INFO     | pipeline | [12/25] sonnet F(frontend_engineer_design_sensibility) task3 run1
2026-03-27 21:48:58 | INFO     | pipeline |   -> sys=428 chars, prompt=291 chars, out=1955 est tokens, 226782.6ms
2026-03-27 21:48:58 | INFO     | pipeline | [13/25] sonnet A(high_sophistication_nontechnical) task2 run1
2026-03-27 21:53:39 | INFO     | pipeline |   -> sys=499 chars, prompt=228 chars, out=3999 est tokens, 280751.0ms
2026-03-27 21:53:39 | INFO     | pipeline | [14/25] sonnet C(low_sophistication_nontechnical) task5 run1
2026-03-27 21:55:37 | INFO     | pipeline |   -> sys=321 chars, prompt=223 chars, out=2411 est tokens, 118675.0ms
2026-03-27 21:55:37 | INFO     | pipeline | [15/25] sonnet G(beginner_first_website) task3 run1
2026-03-27 21:58:01 | INFO     | pipeline |   -> sys=366 chars, prompt=291 chars, out=1531 est tokens, 143622.6ms
2026-03-27 21:58:01 | INFO     | pipeline | [16/25] sonnet C(low_sophistication_nontechnical) task4 run1
